24,20,16,15,12,1014,554,1677,829,v.good
24,20,16,15,12,994,564,1677,829,good
27,22,20,15,10,847,476,1435,671,v.good
27,22,20,15,10,847,476,1455,671,good
28,22,15,12,10,989,567,1497,746,v.good
28,22,15,12,10,989,567,1517,746,good
28,20,16,15,14,1110,588,1875,887,v.good
23,16,12,12,9,1110,588,1875,887,good
29,20,16,14,10,1017,562,1715,760,v.good
29,20,16,14,10,997,572,1715,760,good
24,22,15,14,10,985,500,1631,714,v.good
19,17,12,11,5,985,500,1631,714,good
24,20,18,16,11,1173,664,1830,751,v.good
24,20,18,16,11,1153,674,1830,751,good
20,20,20,17,13,1049,524,1724,763,v.good
17,17,15,12,8,1049,524,1724,763,good
24,21,18,15,10,1085,569,1721,702,v.good
29,26,18,10,5,1085,569,1721,702,good
27,23,13,12,12,1151,618,1889,940,v.good
27,23,13,12,12,1151,618,1909,940,good
22,20,19,16,11,950,475,1461,687,v.good
17,15,14,13,7,950,475,1461,687,good
24,21,16,15,12,897,458,1523,729,v.good
21,17,11,12,9,897,458,1523,729,good
26,24,14,14,11,990,568,1645,687,v.good
26,24,14,14,11,970,578,1645,687,good
24,23,18,15,11,943,519,1514,669,v.good
24,23,18,15,11,943,519,1534,669,good
25,21,19,14,13,1036,597,1700,688,v.good
30,26,19,9,8,1036,597,1700,688,good
25,20,19,13,10,816,463,1319,636,v.good
25,20,19,13,10,816,463,1339,636,good
21,21,17,16,12,1081,600,1648,761,v.good
21,21,17,16,12,1081,600,1668,761,good
29,25,14,12,10,1103,575,1851,757,v.good
34,30,14,7,5,1103,575,1851,757,good
24,21,20,11,10,1057,552,1685,750,v.good
19,16,17,8,5,1057,552,1685,750,good
26,20,17,11,10,1090,613,1717,756,v.good
23,16,14,7,7,1090,613,1717,756,good
57,9,9,6,6,681,300,1905,912,v.bad
57,9,9,6,6,681,300,1084,469,bad
56,8,7,7,5,700,342,1504,612,v.bad
46,13,12,7,5,700,342,1504,612,bad
50,8,7,7,6,555,218,1267,553,v.bad
50,8,7,7,6,93,218,1267,553,bad
50,9,7,6,5,573,255,1520,606,v.bad
40,14,12,6,5,573,255,1520,606,bad
40,9,9,7,6,507,250,1065,453,v.bad
40,9,13,10,9,507,250,1065,453,bad
42,9,8,6,5,672,447,1412,564,v.bad
42,9,8,6,5,672,447,1090,450,bad
51,9,8,8,6,642,400,1328,564,v.bad
51,9,8,8,6,642,400,974,393,bad
59,9,7,6,5,605,337,1246,520,v.bad
49,14,12,6,5,605,337,1246,520,bad
40,11,8,7,7,600,298,1458,488,v.bad
40,11,12,10,10,600,298,1458,488,bad
51,9,7,7,5,562,289,1582,748,v.bad
51,9,11,10,8,562,289,1582,748,bad
47,7,6,6,5,664,288,1546,713,v.bad
47,7,6,6,5,664,288,1014,429,bad
57,8,6,6,5,505,308,1173,561,v.bad
57,8,6,6,5,112,308,1173,561,bad
48,10,7,5,5,549,307,1269,493,v.bad
48,10,11,8,8,549,307,1269,493,bad
58,10,8,6,5,571,214,1582,543,v.bad
58,10,8,6,5,87,214,1582,543,bad
59,10,5,5,5,551,315,1458,625,v.bad
59,10,9,8,8,551,315,1458,625,bad
60,9,6,5,5,600,365,1615,650,v.bad
60,9,6,5,5,110,365,1615,650,bad
45,10,7,7,5,549,201,1224,576,v.bad
35,15,12,7,5,549,201,1224,576,bad
50,7,7,7,6,525,239,1566,674,v.bad
40,12,12,7,6,525,239,1566,674,bad
59,10,6,6,6,618,252,1665,570,v.bad
59,10,6,6,6,102,252,1665,570,bad
44,10,6,5,5,655,366,1759,588,v.bad
44,10,10,8,8,655,366,1759,588,bad
60,9,6,6,5,852,491,1432,681,medium
24,23,16,15,11,533,330,1429,618,medium
55,10,9,5,5,920,489,1456,673,medium
21,20,19,15,12,686,412,1689,632,medium
48,9,9,8,5,980,521,1607,646,medium
25,22,17,14,11,687,319,1624,664,medium
45,10,9,8,7,1200,644,1906,868,medium
21,21,19,15,15,668,314,1675,745,medium
59,10,7,5,5,850,489,1286,566,medium
26,20,20,12,10,509,284,1467,628,medium
40,10,9,7,7,983,559,1480,620,medium
29,21,14,11,10,589,236,1191,528,medium
51,9,8,7,5,1118,575,1748,861,medium
27,20,19,15,10,536,247,1333,623,medium
56,6,6,6,5,1154,618,1925,772,medium
24,21,17,14,10,693,397,1426,676,medium
42,10,9,9,5,881,462,1475,639,medium
22,21,19,19,13,632,272,1554,604,medium
56,9,9,6,5,1041,524,1623,747,medium
30,25,15,14,10,691,305,1512,579,medium
